specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
int_01_01,0001,0,1506,0,1422,125,150.6021,171.1382,-56.10
int_01_01,0001,1,1438,188,1579,276,166.2077,188.8718,31.97
int_01_01,0001,2,1579,276,1651,452,190.1578,216.0878,67.75
int_01_01,0001,3,1651,452,1499,479,154.3794,175.4306,-10.07
int_01_01,0001,4,1499,479,1421,648,186.1317,211.5126,-65.22
int_01_01,0001,5,1430,680,1591,757,178.4657,202.8013,25.56
int_01_01,0001,6,1591,757,1676,912,176.7767,200.8820,61.26
int_01_01,0001,7,1645,940,1495,986,156.8949,178.2891,-17.05
int_01_01,0001,8,1495,986,1411,1118,156.4609,177.7959,-57.53
int_01_01,0001,9,1429,1169,1599,1251,188.7432,214.4802,25.75
int_01_01,0001,10,1599,1251,1662,1391,153.5220,174.4562,65.77
int_01_01,0001,11,1646,1416,1491,1465,162.5608,184.7275,-17.54
int_01_01,0001,12,1491,1465,1395,1596,162.4100,184.5562,-53.77
int_01_01,0001,13,1395,1596,1555,1705,193.6001,219.9994,34.26
int_01_01,0001,14,1555,1705,1591,1806,107.2241,121.8451,70.38
int_01_01,0001,15,1591,1806,1414,1943,223.8258,254.3467,-37.74
int_01_01,0001,16,1414,1943,1388,2041,101.3903,115.2159,-75.14
int_01_01,0002,0,1482,0,1422,144,156.0000,177.2722,-67.38
int_01_01,0002,1,1422,144,1591,234,191.4706,217.5796,28.04
int_01_01,0002,2,1591,234,1670,405,188.3667,214.0523,65.20
int_01_01,0002,3,1670,405,1507,456,170.7923,194.0815,-17.37
int_01_01,0002,4,1507,456,1410,594,168.6802,191.6814,-54.90
int_01_01,0002,5,1413,621,1558,734,183.8314,208.8987,37.93
int_01_01,0002,6,1558,734,1608,859,134.6291,152.9871,68.20
int_01_01,0002,7,1593,894,1499,935,102.5524,116.5365,-23.57
int_01_01,0002,8,1499,935,1408,1096,184.9378,210.1559,-60.52
int_01_01,0002,9,1408,1096,1567,1227,206.0146,234.1067,39.49
int_01_01,0002,10,1567,1227,1650,1390,182.9153,207.8576,63.01
int_01_01,0002,11,1650,1390,1491,1436,165.5204,188.0908,-16.14
int_01_01,0002,12,1491,1436,1403,1611,195.8801,222.5903,-63.30
int_01_01,0002,13,1410,1636,1588,1721,197.2536,224.1512,25.53
int_01_01,0002,14,1588,1721,1667,1878,175.7555,199.7215,63.29
int_01_01,0002,15,1667,1878,1487,1943,191.3766,217.4727,-19.86
int_01_01,0002,16,1487,1943,1422,2047,122.6418,139.3652,-57.99
int_01_01,0003,0,1437,58,1585,163,181.4635,206.2079,35.35
int_01_01,0003,1,1585,163,1613,287,127.1220,144.4563,77.28
