specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
slo_40_01,0001,4943.0593,4.9431,2.8580,3.4898,0.2578,2.6389,1.0197,1.0060,0.2785
slo_40_01,0002,3457.9796,3.4580,2.0086,2.5170,0.2079,0.7620,0.6661,2.0298,0.0000
slo_40_01,0003,3867.2942,3.8673,1.8466,2.6454,0.2485,0.0000,0.8457,3.0216,0.0000
slo_40_01,0004,4113.2132,4.1132,1.8272,2.7295,0.2496,0.0000,0.9718,3.1414,0.0000
slo_40_01,0005,4188.9814,4.1890,1.8008,2.7750,0.2507,0.0000,0.9699,3.2191,0.0000
slo_40_01,0006,4124.9186,4.1249,1.7733,2.7489,0.2475,0.0000,0.9830,3.1419,0.0000
slo_40_01,0007,4089.7193,4.0897,1.7720,2.6773,0.2521,0.0000,0.9701,3.1196,0.0000
slo_40_01,0008,4113.2546,4.1133,1.7683,2.7568,0.2424,0.0000,0.9266,3.1867,0.0000
slo_40_01,0009,4252.9219,4.2529,1.8283,2.7591,0.2523,0.0000,1.0921,3.1609,0.0000
slo_40_01,0010,4317.8431,4.3178,1.8562,2.8125,0.2548,0.0000,1.0741,3.2438,0.0000
slo_40_01,0011,4465.4238,4.4654,1.9957,3.2693,0.2080,0.3875,0.9754,3.1025,0.0000
slo_40_01,0012,4255.1077,4.2551,1.8293,2.7807,0.2502,0.0000,1.0224,3.2327,0.0000
slo_40_01,0013,3932.3474,3.9323,1.7047,2.7659,0.2243,0.0000,0.8618,3.0705,0.0000
slo_40_01,0014,3979.2052,3.9792,1.7721,2.5761,0.2450,0.0000,1.0285,2.9507,0.0000
slo_40_01,0015,4005.9492,4.0059,1.7383,2.6579,0.2448,0.0000,0.9660,3.0400,0.0000
slo_40_01,0016,4067.0275,4.0670,1.7484,2.7682,0.2360,0.0000,1.1766,2.8905,0.0000
slo_40_01,0017,4080.2339,4.0802,1.7541,2.7500,0.2562,0.0000,1.2595,2.8207,0.0000
slo_40_01,0018,4126.5660,4.1266,1.7740,2.8057,0.2418,0.0000,1.3029,2.8237,0.0000
slo_40_01,0019,3467.8926,3.4679,1.7212,2.0591,0.2891,0.0000,1.0018,2.2139,0.2522
