specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
slo_40_01,0001,4943.0593,4.9431,2.8580,3.4898,0.2578,2.6389,1.0197,1.0060,0.2785
slo_40_01,0002,3457.9796,3.4580,2.0086,2.5170,0.2079,0.7620,0.6661,2.0298,0.0000
slo_40_01,0003,3867.2942,3.8673,1.8466,2.6454,0.2485,0.0000,0.8457,3.0216,0.0000
slo_40_01,0004,4113.2132,4.1132,1.8272,2.7295,0.2496,0.0000,0.9718,3.1414,0.0000
slo_40_01,0005,4188.9814,4.1890,1.8008,2.7750,0.2507,0.0000,0.9699,3.2191,0.0000
slo_40_01,0006,4124.9186,4.1249,1.7733,2.7489,0.2475,0.0000,0.9830,3.1419,0.0000
slo_40_01,0007,4089.7193,4.0897,1.7720,2.6773,0.2521,0.0000,0.9701,3.1196,0.0000
slo_40_01,0008,4113.2546,4.1133,1.7683,2.7568,0.2424,0.0000,0.9266,3.1867,0.0000
slo_40_01,0009,4252.9219,4.2529,1.8283,2.7591,0.2523,0.0000,1.0921,3.1609,0.0000
slo_40_01,0010,4317.8431,4.3178,1.8562,2.8125,0.2548,0.0000,1.0741,3.2438,0.0000
slo_40_01,0011,4465.4238,4.4654,1.9957,3.2693,0.2080,0.3875,0.9754,3.1025,0.0000
slo_40_01,0012,4255.1077,4.2551,1.8293,2.7807,0.2502,0.0000,1.0224,3.2327,0.0000
slo_40_01,0013,3932.3474,3.9323,1.7047,2.7659,0.2243,0.0000,0.8618,3.0705,0.0000
slo_40_01,0014,3979.2052,3.9792,1.7721,2.5761,0.2450,0.0000,1.0285,2.9507,0.0000
slo_40_01,0015,4005.9492,4.0059,1.7383,2.6579,0.2448,0.0000,0.9660,3.0400,0.0000
slo_40_01,0016,4067.0275,4.0670,1.7484,2.7682,0.2360,0.0000,1.1766,2.8905,0.0000
slo_40_01,0017,4080.2339,4.0802,1.7541,2.7500,0.2562,0.0000,1.2595,2.8207,0.0000
slo_40_01,0018,4126.5660,4.1266,1.7740,2.8057,0.2418,0.0000,1.3029,2.8237,0.0000
slo_40_01,0019,3467.8926,3.4679,1.7212,2.0591,0.2891,0.0000,1.0018,2.2139,0.2522
slo_50_01,0001,5698.5186,5.6985,2.4606,3.4648,0.3155,1.0402,1.4609,2.2369,0.9606
slo_50_01,0002,3629.0949,3.6291,1.5601,1.9886,0.2443,0.0000,2.2471,1.3820,0.0000
slo_50_01,0003,3597.6670,3.5977,1.5466,1.9250,0.2490,0.0000,2.2276,1.3700,0.0000
slo_50_01,0004,3688.8472,3.6888,1.5858,1.9148,0.2528,0.1379,2.0865,1.4645,0.0000
slo_50_01,0005,3592.8422,3.5928,1.5446,1.9125,0.2464,0.0000,1.7036,1.8892,0.0000
slo_50_01,0006,3281.8032,3.2818,1.4601,2.0034,0.2147,0.0000,1.5426,1.7392,0.0000
slo_50_01,0007,3784.0810,3.7841,1.6861,1.9170,0.2697,0.0000,1.3543,2.4298,0.0000
slo_50_01,0008,3772.5363,3.7725,1.6632,1.9239,0.2496,0.1421,1.6976,1.9329,0.0000
slo_50_01,0009,3818.6039,3.8186,1.6416,1.9295,0.2524,0.1387,1.5168,2.1632,0.0000
slo_50_01,0010,3729.6959,3.7297,1.6034,1.9954,0.2430,0.0000,1.3951,2.3346,0.0000
slo_50_01,0011,3461.9506,3.4620,1.4883,1.9329,0.2408,0.0000,1.6246,1.8374,0.0000
slo_50_01,0012,3461.6641,3.4617,1.5081,1.8898,0.2508,0.0000,1.7858,1.6759,0.0000
slo_50_01,0013,3987.6224,3.9876,1.7143,1.9716,0.2651,0.0000,1.4985,2.4892,0.0000
slo_50_01,0014,3635.8610,3.6359,1.5631,1.8886,0.2507,0.0000,1.1245,2.5114,0.0000
slo_50_01,0015,3629.4288,3.6294,1.5603,1.8716,0.2541,0.0000,0.9791,2.6503,0.0000
slo_50_01,0016,3627.4634,3.6275,1.5594,1.9136,0.2504,0.0000,1.3041,2.3233,0.0000
slo_50_01,0017,4403.6967,4.4037,1.9071,1.9534,0.2499,0.0000,2.3337,1.9386,0.1315
slo_50_01,0018,3337.8687,3.3379,1.4941,1.7261,0.2592,0.0000,1.0994,2.2385,0.0000
