specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
int_01_01,0001,3192.4365,3.1924,1.3765,0.3273,0.2234,0.0000,1.5735,0.8262,0.7928
int_01_01,0002,3316.6011,3.3166,1.4258,0.3034,0.2518,0.0000,1.7157,0.8847,0.7162
int_01_01,0003,2875.6561,2.8757,1.2723,0.2807,0.2207,0.1278,1.5405,0.8152,0.3922
int_01_01,0004,3190.2477,3.1902,1.3715,0.2625,0.2525,0.0000,1.4998,1.1186,0.5718
int_01_01,0005,2899.4065,2.8994,1.2751,0.2625,0.2345,0.0000,1.7496,0.5756,0.5742
int_01_01,0006,3336.7233,3.3367,1.4345,0.2807,0.2366,0.0000,1.7903,0.7252,0.8213
int_01_01,0007,3185.0635,3.1851,1.3841,0.2955,0.2222,0.1212,1.9144,0.8333,0.3162
int_01_01,0008,3112.9188,3.1129,1.3382,0.3000,0.2272,0.1307,1.6607,0.8578,0.4638
int_01_01,0009,3364.7827,3.3648,1.4465,0.3216,0.2399,0.2888,1.3518,1.2757,0.4484
int_01_01,0010,3441.1788,3.4412,1.4794,0.3500,0.2347,0.1919,1.7812,0.9545,0.5136
int_01_01,0011,3288.3527,3.2884,1.4283,0.3557,0.2400,0.1960,1.6298,0.9485,0.5141
int_01_01,0012,3480.4094,3.4804,1.5469,0.3818,0.2535,0.4340,1.7479,0.9583,0.3401
int_01_01,0013,3602.4147,3.6024,1.5938,0.3818,0.2464,0.2303,1.8263,0.9745,0.5713
int_01_01,0014,3686.4579,3.6865,1.5848,0.4045,0.2423,0.4541,1.7677,1.0520,0.4126
int_01_01,0015,3478.2578,3.4783,1.4953,0.3409,0.2577,0.0000,1.5164,1.0374,0.9245
int_02_01,0001,4482.9223,4.4829,1.9272,0.4761,0.2573,0.1985,1.0285,1.5315,1.7244
int_02_01,0002,4584.5171,4.5845,2.0396,0.4852,0.2883,0.2756,1.3009,1.4618,1.5463
int_02_01,0003,4352.5569,4.3526,1.8712,0.4875,0.2439,0.1786,1.1606,1.5932,1.4202
int_02_01,0004,4431.3542,4.4314,1.9050,0.4932,0.2683,0.0000,1.4021,1.3853,1.6440
int_02_01,0005,4303.3264,4.3033,1.8729,0.4511,0.3170,0.2535,1.6807,1.1700,1.1991
int_02_01,0006,4041.5454,4.0415,1.7375,0.4261,0.2708,0.2157,1.4641,1.1318,1.2300
int_02_01,0007,4019.3125,4.0193,1.7774,0.4409,0.2777,0.0000,1.4613,1.2805,1.2776
int_02_01,0008,4006.4868,4.0065,1.7224,0.4398,0.2639,0.0000,1.4859,1.3047,1.2158
